ABC_Publication,Edition,State,District,Year,Half,Language,Frequency,Avg Circulation,Gram State,Gram District
Aajkaal,Kolkata edition,WB,Nadia,2013,H2,Bengali,Dailies,9222.0,WEST BENGAL,NADIA
Aajkaal,Kolkata edition,WB,Nadia,2014,H1,Bengali,Dailies,9051.0,WEST BENGAL,NADIA
Aajkaal,Kolkata edition,WB,Nadia,2014,H2,Bengali,Dailies,8825.0,WEST BENGAL,NADIA
Aajkaal,Kolkata edition,WB,Nadia,2015,H1,Bengali,Dailies,8867.0,WEST BENGAL,NADIA
Aajkaal,Kolkata edition,WB,North Twentyfour Parganas,2013,H1,Bengali,Dailies,23184.0,WEST BENGAL,NORTH TWENTYFOUR PARGANAS
Aajkaal,Kolkata edition,WB,North Twentyfour Parganas,2013,H2,Bengali,Dailies,23876.0,WEST BENGAL,NORTH TWENTYFOUR PARGANAS
Aajkaal,Kolkata edition,WB,North Twentyfour Parganas,2014,H1,Bengali,Dailies,23466.0,WEST BENGAL,NORTH TWENTYFOUR PARGANAS
Aajkaal,Kolkata edition,WB,North Twentyfour Parganas,2014,H2,Bengali,Dailies,22809.0,WEST BENGAL,NORTH TWENTYFOUR PARGANAS
Aajkaal,Kolkata edition,WB,North Twentyfour Parganas,2015,H1,Bengali,Dailies,25072.0,WEST BENGAL,NORTH TWENTYFOUR PARGANAS
Aajkaal,Kolkata edition,WB,Other Districts,2013,H1,Bengali,Dailies,70.0,WEST BENGAL,KOLKATA
Aajkaal,Kolkata edition,WB,Other Districts,2013,H2,Bengali,Dailies,70.0,WEST BENGAL,KOLKATA
Aajkaal,Kolkata edition,WB,Other Districts,2014,H1,Bengali,Dailies,96.0,WEST BENGAL,KOLKATA
Aajkaal,Kolkata edition,WB,Other Districts,2014,H2,Bengali,Dailies,100.0,WEST BENGAL,KOLKATA
Aajkaal,Kolkata edition,WB,Other Districts,2015,H1,Bengali,Dailies,90.0,WEST BENGAL,KOLKATA
Aajkaal,Kolkata edition,WB,Puruliya,2013,H1,Bengali,Dailies,4667.0,WEST BENGAL,PURULIYA
Aajkaal,Kolkata edition,WB,Puruliya,2013,H2,Bengali,Dailies,6545.0,WEST BENGAL,PURULIYA
Aajkaal,Kolkata edition,WB,Puruliya,2014,H1,Bengali,Dailies,6565.0,WEST BENGAL,PURULIYA
Aajkaal,Kolkata edition,WB,Puruliya,2014,H2,Bengali,Dailies,6523.0,WEST BENGAL,PURULIYA
Aajkaal,Kolkata edition,WB,Puruliya,2015,H1,Bengali,Dailies,6387.0,WEST BENGAL,PURULIYA
Aajkaal,Kolkata edition,WB,South Twentyfour Parganas,2013,H1,Bengali,Dailies,4277.0,WEST BENGAL,SOUTH TWENTYFOUR PARGANAS
Aajkaal,Kolkata edition,WB,South Twentyfour Parganas,2013,H2,Bengali,Dailies,3741.0,WEST BENGAL,SOUTH TWENTYFOUR PARGANAS
